"filename", "language", "Markdown", "JSON", "JavaScript JSX", "Ignore", "JavaScript", "MS SQL", "TypeScript", "JSON with Comments", "TypeScript JSX", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/NetworkStatusIndicator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 7, 31
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/PWAInstallPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 11, 20, 131
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/PWAStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 3, 10, 106
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/PhoneSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 12, 94
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 10, 15, 106
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/SlotSelection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 6, 34, 294
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/VendorCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 12, 146
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/VendorSalesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 3, 11, 132
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/customer/Cart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 10, 24, 240
"/home/winter/Desktop/UnKnownWorld/Adminnn/Tryodo-Website/src/components/customer/OrderCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 0, 0, 11, 29, 448
